customer_id,age,gender,location,tenure_months,monthly_spend,total_spend,login_frequency,support_tickets,product_usage,subscription_type,payment_method,discount_used,churn,customer_lifetime_value
C100000,56.0,Female,Mumbai,40,1008.23,43296.89,20.0,1,68.0,Monthly,Debit Card,1,0,45804.53
C100001,69.0,Male,Delhi,31,1716.53,52968.01,20.0,3,87.0,Monthly,UPI,0,0,92328.73
C100002,46.0,Female,Mumbai,65,1035.82,72203.52,23.0,7,88.0,Monthly,Wallet,1,0,83848.62
C100003,32.0,Male,Other,39,2622.21,107971.82,13.0,1,68.0,Annual,UPI,0,0,126076.33
C100004,60.0,Male,Pune,24,2117.73,49767.32,4.0,2,80.0,Monthly,Debit Card,1,0,72619.73
C100005,25.0,Male,Kolkata,68,3018.35,194697.0,34.0,1,100.0,Annual,Credit Card,0,0,223517.19
C100006,38.0,Female,Mumbai,23,1290.63,26504.91,13.0,2,58.0,Monthly,UPI,0,0,53970.79
C100007,56.0,Female,Bengaluru,61,907.66,61298.76,4.0,2,72.0,Monthly,Debit Card,0,0,66062.13
C100008,36.0,Female,Delhi,27,807.85,20045.96,17.0,2,72.0,Monthly,Credit Card,0,0,48651.48
C100009,40.0,Female,Chennai,16,2823.68,40739.57,14.0,1,75.0,Monthly,UPI,0,0,88548.88
C100010,28.0,Male,Bengaluru,45,1542.11,72798.73,21.0,1,100.0,Monthly,Debit Card,0,0,101930.48
C100011,28.0,Female,Hyderabad,27,1075.26,30031.63,15.0,3,50.0,Annual,Debit Card,0,0,59316.02
C100012,41.0,Female,Mumbai,5,2105.72,10821.19,24.0,2,100.0,Quarterly,Bank Transfer,0,0,56928.7
C100013,70.0,Male,Mumbai,59,1582.88,102988.23,12.0,1,61.0,Monthly,Credit Card,0,0,100937.16
C100014,53.0,Female,Mumbai,72,1435.14,113721.17,6.0,3,57.0,Annual,Debit Card,0,0,105718.31
C100015,57.0,Male,Hyderabad,35,2766.52,101975.1,19.0,0,66.0,Monthly,Debit Card,0,0,124721.04
C100016,41.0,Male,Mumbai,70,1708.1,115090.68,7.0,1,65.0,Monthly,Credit Card,0,0,135238.76
C100017,20.0,Male,Hyderabad,46,2168.61,89535.42,17.0,2,76.0,Monthly,Bank Transfer,0,0,121717.83
C100018,39.0,Male,Delhi,56,2081.49,124903.16,23.0,1,63.0,Monthly,Bank Transfer,0,0,132217.57
C100019,70.0,Female,Chennai,24,3565.7,84830.77,10.0,4,20.0,Monthly,UPI,0,0,112284.15
C100020,19.0,Male,Pune,10,1919.13,20198.98,20.0,2,85.0,Annual,Bank Transfer,0,0,81288.52
C100021,41.0,Male,Pune,38,1400.72,51008.47,17.0,2,67.0,Annual,Credit Card,1,0,79089.71
C100022,61.0,Male,Delhi,70,1608.44,100541.85,15.0,4,46.0,Annual,Credit Card,0,0,121695.82
C100023,47.0,Female,Delhi,48,2443.37,112389.01,25.0,3,75.0,Quarterly,Credit Card,0,0,142825.2
C100024,55.0,Female,Mumbai,9,1962.87,15881.37,19.0,2,73.0,Quarterly,UPI,1,0,51140.04
C100025,19.0,Male,Hyderabad,50,1494.25,77035.64,25.0,5,100.0,Monthly,UPI,0,0,101306.83
C100026,38.0,Male,Delhi,69,2022.95,137983.43,10.0,5,82.0,Monthly,Bank Transfer,0,0,136965.26
C100027,50.0,Male,Chennai,48,2663.49,135826.26,16.0,0,95.0,Quarterly,UPI,1,0,153583.52
C100028,29.0,Female,Chennai,39,3128.54,118071.59,23.0,3,82.0,Annual,Credit Card,0,0,154947.19
C100029,39.0,Female,Bengaluru,5,2039.88,10762.07,16.0,1,77.0,Monthly,Bank Transfer,1,0,52312.73
C100030,61.0,Male,Kolkata,11,2537.88,26642.32,27.0,1,88.0,Monthly,Debit Card,1,0,68802.94
C100031,42.0,Male,Bengaluru,60,875.48,51251.48,11.0,1,42.0,Monthly,Wallet,0,0,61826.27
C100032,44.0,Female,Bengaluru,27,2204.39,57407.47,15.0,1,62.0,Monthly,UPI,0,0,90180.21
C100033,44.0,Female,Other,7,1682.65,10833.42,21.0,1,63.0,Quarterly,Credit Card,0,0,47499.48
C100034,59.0,Male,Pune,60,1053.33,61130.93,18.0,1,60.0,Monthly,Bank Transfer,0,0,81254.35
C100035,45.0,Male,Hyderabad,50,1194.15,60554.58,17.0,3,47.0,Monthly,Bank Transfer,1,0,63934.92
C100036,33.0,Male,Kolkata,67,1269.42,79154.67,18.0,4,60.0,Monthly,Debit Card,0,0,97403.35
C100037,32.0,Female,Bengaluru,69,1990.62,142661.49,2.0,3,86.0,Quarterly,Credit Card,0,0,146489.05
