customer_id,age,gender,location,tenure_months,monthly_spend,total_spend,login_frequency,support_tickets,product_usage,subscription_type,payment_method,discount_used,churn,customer_lifetime_value,average_monthly_spend,usage_per_month,support_ticket_rate,age_group,tenure_group
C100000,56.0,Female,Mumbai,40,1008.23,43296.89,20.0,1,68.0,Monthly,Debit Card,1,0,45804.53,1082.42225,1.7,0.025,51+,25+ months
C100001,69.0,Male,Delhi,31,1716.53,52968.01,20.0,3,87.0,Monthly,UPI,0,0,92328.73,1708.6454838709678,2.806451612903226,0.0967741935483871,51+,25+ months
C100002,46.0,Female,Mumbai,65,1035.82,72203.52,23.0,7,88.0,Monthly,Wallet,1,0,83848.62,1110.8233846153846,1.353846153846154,0.1076923076923077,36-50,25+ months
C100003,32.0,Male,Other,39,2622.21,107971.82,13.0,1,68.0,Annual,UPI,0,0,126076.33,2768.508205128205,1.7435897435897436,0.02564102564102564,26-35,25+ months
C100004,60.0,Male,Pune,24,2117.73,49767.32,4.0,2,80.0,Monthly,Debit Card,1,0,72619.73,2073.6383333333333,3.3333333333333335,0.08333333333333333,51+,13-24 months
C100005,25.0,Male,Kolkata,68,3018.35,194697.0,34.0,1,100.0,Annual,Credit Card,0,0,223517.19,2863.1911764705883,1.4705882352941178,0.014705882352941176,18-25,25+ months
C100006,38.0,Female,Mumbai,23,1290.63,26504.91,13.0,2,58.0,Monthly,UPI,0,0,53970.79,1152.3873913043478,2.5217391304347827,0.08695652173913043,36-50,13-24 months
C100007,56.0,Female,Bengaluru,61,907.66,61298.76,4.0,2,72.0,Monthly,Debit Card,0,0,66062.13,1004.8977049180328,1.180327868852459,0.03278688524590164,51+,25+ months
C100008,36.0,Female,Delhi,27,807.85,20045.96,17.0,2,72.0,Monthly,Credit Card,0,0,48651.48,742.442962962963,2.6666666666666665,0.07407407407407407,36-50,25+ months
C100009,40.0,Female,Chennai,16,2823.68,40739.57,14.0,1,75.0,Monthly,UPI,0,0,88548.88,2546.223125,4.6875,0.0625,36-50,13-24 months
C100010,28.0,Male,Bengaluru,45,1542.11,72798.73,21.0,1,100.0,Monthly,Debit Card,0,0,101930.48,1617.7495555555554,2.2222222222222223,0.022222222222222223,26-35,25+ months
C100011,28.0,Female,Hyderabad,27,1075.26,30031.63,15.0,3,50.0,Annual,Debit Card,0,0,59316.02,1112.2825925925927,1.8518518518518519,0.1111111111111111,26-35,25+ months
C100012,41.0,Female,Mumbai,5,2105.72,10821.19,24.0,2,100.0,Quarterly,Bank Transfer,0,0,56928.7,2164.2380000000003,20.0,0.4,36-50,0-6 months
C100013,70.0,Male,Mumbai,59,1582.88,102988.23,12.0,1,61.0,Monthly,Credit Card,0,0,100937.16,1745.563220338983,1.0338983050847457,0.01694915254237288,51+,25+ months
C100014,53.0,Female,Mumbai,72,1435.14,113721.17,6.0,3,57.0,Annual,Debit Card,0,0,105718.31,1579.4606944444445,0.7916666666666666,0.041666666666666664,51+,25+ months
C100015,57.0,Male,Hyderabad,35,2766.52,101975.1,19.0,0,66.0,Monthly,Debit Card,0,0,124721.04,2913.574285714286,1.8857142857142857,0.0,51+,25+ months
C100016,41.0,Male,Mumbai,70,1708.1,115090.68,7.0,1,65.0,Monthly,Credit Card,0,0,135238.76,1644.1525714285713,0.9285714285714286,0.014285714285714285,36-50,25+ months
C100017,20.0,Male,Hyderabad,46,2168.61,89535.42,17.0,2,76.0,Monthly,Bank Transfer,0,0,121717.83,1946.4221739130435,1.6521739130434783,0.043478260869565216,18-25,25+ months
C100018,39.0,Male,Delhi,56,2081.49,124903.16,23.0,1,63.0,Monthly,Bank Transfer,0,0,132217.57,2230.4135714285717,1.125,0.017857142857142856,36-50,25+ months
C100019,70.0,Female,Chennai,24,3565.7,84830.77,10.0,4,20.0,Monthly,UPI,0,0,112284.15,3534.615416666667,0.8333333333333334,0.16666666666666666,51+,13-24 months
C100020,19.0,Male,Pune,10,1919.13,20198.98,20.0,2,85.0,Annual,Bank Transfer,0,0,81288.52,2019.898,8.5,0.2,18-25,7-12 months
C100021,41.0,Male,Pune,38,1400.72,51008.47,17.0,2,67.0,Annual,Credit Card,1,0,79089.71,1342.328157894737,1.763157894736842,0.05263157894736842,36-50,25+ months
C100022,61.0,Male,Delhi,70,1608.44,100541.85,15.0,4,46.0,Annual,Credit Card,0,0,121695.82,1436.312142857143,0.6571428571428571,0.05714285714285714,51+,25+ months
C100023,47.0,Female,Delhi,48,2443.37,112389.01,25.0,3,75.0,Quarterly,Credit Card,0,0,142825.2,2341.4377083333334,1.5625,0.0625,36-50,25+ months
C100024,55.0,Female,Mumbai,9,1962.87,15881.37,19.0,2,73.0,Quarterly,UPI,1,0,51140.04,1764.5966666666668,8.11111111111111,0.2222222222222222,51+,7-12 months
C100025,19.0,Male,Hyderabad,50,1494.25,77035.64,25.0,5,100.0,Monthly,UPI,0,0,101306.83,1540.7128,2.0,0.1,18-25,25+ months
C100026,38.0,Male,Delhi,69,2022.95,137983.43,10.0,5,82.0,Monthly,Bank Transfer,0,0,136965.26,1999.7598550724638,1.1884057971014492,0.07246376811594203,36-50,25+ months
C100027,50.0,Male,Chennai,48,2663.49,135826.26,16.0,0,95.0,Quarterly,UPI,1,0,153583.52,2829.7137500000003,1.9791666666666667,0.0,36-50,25+ months
C100028,29.0,Female,Chennai,39,3128.54,118071.59,23.0,3,82.0,Annual,Credit Card,0,0,154947.19,3027.4766666666665,2.1025641025641026,0.07692307692307693,26-35,25+ months
C100029,39.0,Female,Bengaluru,5,2039.88,10762.07,16.0,1,77.0,Monthly,Bank Transfer,1,0,52312.73,2152.4139999999998,15.4,0.2,36-50,0-6 months
C100030,61.0,Male,Kolkata,11,2537.88,26642.32,27.0,1,88.0,Monthly,Debit Card,1,0,68802.94,2422.029090909091,8.0,0.09090909090909091,51+,7-12 months
C100031,42.0,Male,Bengaluru,60,875.48,51251.48,11.0,1,42.0,Monthly,Wallet,0,0,61826.27,854.1913333333334,0.7,0.016666666666666666,36-50,25+ months
C100032,44.0,Female,Bengaluru,27,2204.39,57407.47,15.0,1,62.0,Monthly,UPI,0,0,90180.21,2126.2025925925927,2.2962962962962963,0.037037037037037035,36-50,25+ months
C100033,44.0,Female,Other,7,1682.65,10833.42,21.0,1,63.0,Quarterly,Credit Card,0,0,47499.48,1547.6314285714286,9.0,0.14285714285714285,36-50,7-12 months
C100034,59.0,Male,Pune,60,1053.33,61130.93,18.0,1,60.0,Monthly,Bank Transfer,0,0,81254.35,1018.8488333333333,1.0,0.016666666666666666,51+,25+ months
C100035,45.0,Male,Hyderabad,50,1194.15,60554.58,17.0,3,47.0,Monthly,Bank Transfer,1,0,63934.92,1211.0916,0.94,0.06,36-50,25+ months
C100036,33.0,Male,Kolkata,67,1269.42,79154.67,18.0,4,60.0,Monthly,Debit Card,0,0,97403.35,1181.412985074627,0.8955223880597015,0.05970149253731343,26-35,25+ months
C100037,32.0,Female,Bengaluru,69,1990.62,142661.49,2.0,3,86.0,Quarterly,Credit Card,0,0,146489.05,2067.5578260869565,1.2463768115942029,0.043478260869565216,26-35,25+ months
C100038,64.0,Female,Delhi,55,1080.34,54054.49,13.0,0,35.0,Monthly,Credit Card,0,0,63609.09,982.8089090909091,0.6363636363636364,0.0,51+,25+ months
C100039,68.0,Female,Mumbai,16,2510.55,39614.07,16.0,3,86.0,Annual,Debit Card,1,0,76714.36,2475.879375,5.375,0.1875,51+,13-24 months
C100040,61.0,Female,Mumbai,12,2426.54,26467.22,17.0,4,100.0,Monthly,UPI,1,0,82450.89,2205.601666666667,8.333333333333334,0.3333333333333333,51+,7-12 months
C100041,69.0,Male,Delhi,27,1722.52,47782.16,8.0,3,100.0,Monthly,Debit Card,1,0,66749.91,1769.7096296296297,3.7037037037037037,0.1111111111111111,51+,25+ months
C100042,20.0,Female,Hyderabad,33,1665.77,54653.35,18.0,4,73.0,Monthly,Credit Card,0,0,85635.7,1656.162121212121,2.212121212121212,0.12121212121212122,18-25,25+ months
C100043,54.0,Female,Hyderabad,55,1901.62,112515.4,18.0,2,79.0,Monthly,Bank Transfer,1,0,122248.75,2045.7345454545452,1.4363636363636363,0.03636363636363636,51+,25+ months
C100044,68.0,Male,Delhi,52,1479.21,75404.36,16.0,1,100.0,Monthly,Wallet,0,0,92755.43,1450.0838461538463,1.9230769230769231,0.019230769230769232,51+,25+ months
C100045,24.0,Female,Bengaluru,37,2749.72,102644.25,16.0,3,55.0,Monthly,Debit Card,0,0,128909.01,2774.1689189189187,1.4864864864864864,0.08108108108108109,18-25,25+ months
C100046,38.0,Male,Other,15,441.18,6904.22,9.0,1,100.0,Quarterly,Credit Card,0,0,34628.65,460.28133333333335,6.666666666666667,0.06666666666666667,36-50,13-24 months
C100047,26.0,Male,Chennai,65,1548.46,88977.76,10.0,1,68.0,Monthly,Debit Card,1,0,122805.67,1368.8886153846154,1.0461538461538462,0.015384615384615385,26-35,25+ months
